Question_Id,Question_Header,Question_Type,Question_CorrectAnswer, Question_Grade 
266,"Microsoft SQL Server - Business Intelligence includes practical sessions. 
-True
-False",True Or False,FALSE,1
267,What are the key concepts covered in .Net Design Patterns?,Article,Explanation of key concepts in .Net Design Patterns.,1
268,"Which of the following is a key topic in .Net Design Patterns? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,B,1
269,What are the key concepts covered in .Net Design Patterns?,Article,Explanation of key concepts in .Net Design Patterns.,1
270,"Which of the following is a key topic in .Net Design Patterns? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,B,1
271,".Net Design Patterns includes practical sessions.
-True
-False",True Or False,TRUE,1
272,.Net Design Patterns includes practical sessions. ,True Or False,TRUE,1
273,".Net Design Patterns includes practical sessions.
-True
-False",True Or False,TRUE,1
274,"Which of the following is a key topic in .Net Design Patterns? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,B,1
275,".Net Design Patterns includes practical sessions. 
-True
-False",True Or False,FALSE,1
276,"Which of the following is a key topic in .Net Design Patterns? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,B,1
277,What are the key concepts covered in Unity?,Article,Explanation of key concepts in Unity.,1
278,"Unity includes practical sessions. 
-True
-False",True Or False,FALSE,1
279,"Which of the following is a key topic in Unity? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,D,1
280,"Which of the following is a key topic in Unity? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,A,1
281,"Which of the following is a key topic in Unity? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,A,1
282,"Which of the following is a key topic in Unity? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",True Or False,FALSE,1
283,What are the key concepts covered in Unity?,Article,Explanation of key concepts in Unity.,1
284,"Unity includes practical sessions. 
-True
-False",True Or False,FALSE,1
285,What are the key concepts covered in C++?,Article,Explanation of key concepts in C++.,1
286,"Which of the following is a key topic in C++?
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,D,1
287,"Which of the following is a key topic in C++? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,B,1
288,"Which of the following is a key topic in C++? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,C,1
289,"C++ includes practical sessions. 
-True
-False",True Or False,TRUE,1
290,"C++ includes practical sessions. 
-True
-False",True Or False,TRUE,1
291,"Which of the following is a key topic in C++? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,B,1
292,"C++ includes practical sessions. 
-True
-False",True Or False,TRUE,1
293,"Which of the following is a key topic in C++? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,B,1
294,C++ includes practical sessions. True or False?,True Or False,FALSE,1
295,"2D Animation Tools includes practical sessions. 
-True
-False",True Or False,TRUE,1
296,What are the key concepts covered in 2D Animation Tools?,Article,Explanation of key concepts in 2D Animation Tools.,1
297,"Which of the following is a key topic in 2D Animation Tools? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,C,1
298,"Which of the following is a key topic in 2D Animation Tools? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,C,1
299,"Which of the following is a key topic in 2D Animation Tools?
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,C,1
300,"2D Animation Tools includes practical sessions.
-True
-False",True Or False,TRUE,1
301,"Which of the following is a key topic in 2D Animation Tools? 
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,C,1
302,"Which of the following is a key topic in 2D Animation Tools? 
(A) Option A
(B) Option B
(C) Option C 
(D) Option D",MCQ,A,1
303,"2D Animation Tools includes practical sessions.
-True
-False",True Or False,FALSE,1
304,What are the key concepts covered in 2D Animation Tools?,Article,Explanation of key concepts in 2D Animation Tools.,1
305,What are the key concepts covered in Motion Graphics?,Article,Explanation of key concepts in Motion Graphics.,1
306,"Which of the following is a key topic in Motion Graphics? 
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,D,1
307,"Motion Graphics includes practical sessions.
-True
-False",True Or False,FALSE,1
308,"Motion Graphics includes practical sessions. 
-True
-False",True Or False,FALSE,1
309,What are the key concepts covered in Motion Graphics?,Article,Explanation of key concepts in Motion Graphics.,1
310,"Motion Graphics includes practical sessions.
-True
-False",True Or False,TRUE,1
311,"Which of the following is a key topic in Motion Graphics?
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,B,1
312,"Which of the following is a key topic in Motion Graphics?
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,D,1
313,What are the key concepts covered in Motion Graphics?,Article,Explanation of key concepts in Motion Graphics.,1
314,"Which of the following is a key topic in Motion Graphics?
(A) Option A
(B) Option B
(C) Option C
 (D) Option D",MCQ,B,1
315,"Which of the following is a key topic in Digital Art Styles and Techniques?
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,B,1
316,What are the key concepts covered in Digital Art Styles and Techniques?,Article,Explanation of key concepts in Digital Art Styles and Techniques.,1
317,"Digital Art Styles and Techniques includes practical sessions.
-True
-False",True Or False,FALSE,1
318,"Digital Art Styles and Techniques includes practical sessions. 
-True
-False
",True Or False,TRUE,1
319,"Which of the following is a key topic in Digital Art Styles and Techniques?
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,D,1
320,"Which of the following is a key topic in Digital Art Styles and Techniques? 
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,D,1
321,"Which of the following is a key topic in Digital Art Styles and Techniques? 
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,B,1
322,"Which of the following is a key topic in Digital Art Styles and Techniques? 
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,B,1
323,"Digital Art Styles and Techniques includes practical sessions. 
-True 
-False",True Or False,FALSE,1
324,"Which of the following is a key topic in Digital Art Styles and Techniques? 
(A) Option A
(B) Option B
(C) Option C
(D) Option D",MCQ,A,1
325,Developing & Testing MCQ Question 1: Choose the correct option.,MCQ,A,1
326,Developing & Testing MCQ Question 2: Choose the correct option.,MCQ,A,1
327,Developing & Testing MCQ Question 3: Choose the correct option.,MCQ,A,1
328,Developing & Testing MCQ Question 4: Choose the correct option.,MCQ,A,1
329,Developing & Testing MCQ Question 5: Choose the correct option.,MCQ,A,1
330,Effective Test Case and Bug Report Writing Techniques True/False Question 1: Statement about the course.,True Or False,TRUE,1
331,Effective Test Case and Bug Report Writing Techniques True/False Question 2: Statement about the course.,True Or False,FALSE,1
332,Effective Test Case and Bug Report Writing Techniques True/False Question 3: Statement about the course.,True Or False,TRUE,1
333,Effective Test Case and Bug Report Writing Techniques True/False Question 4: Statement about the course.,True Or False,FALSE,1
334,Effective Test Case and Bug Report Writing Techniques True/False Question 5: Statement about the course.,True Or False,TRUE,1
335,Introduction to Programming using C True/False Question 1: Statement about the course.,True/False,TRUE,1
336,Introduction to Programming using C True/False Question 2: Statement about the course.,True/False,FALSE,1
337,Introduction to Programming using C True/False Question 3: Statement about the course.,True/False,TRUE,1
338,Introduction to Programming using C True/False Question 4: Statement about the course.,True/False,FALSE,1
339,Introduction to Programming using C True/False Question 5: Statement about the course.,True/False,TRUE,1
340,Introduction to Programming using C MCQ Question 1: Choose the correct option.,MCQ,A,3
341,Introduction to Programming using C MCQ Question 2: Choose the correct option.,MCQ,A,3
342,Introduction to Programming using C MCQ Question 3: Choose the correct option.,MCQ,A,3
343,Introduction to Programming using C MCQ Question 4: Choose the correct option.,MCQ,A,3
344,Introduction to Programming using C MCQ Question 5: Choose the correct option.,MCQ,A,3
345,Communication Essentials for Professionals True/False Question 1: Statement about the course.,True/False,TRUE,1
346,Communication Essentials for Professionals True/False Question 2: Statement about the course.,True/False,FALSE,1
347,Communication Essentials for Professionals True/False Question 3: Statement about the course.,True/False,TRUE,1
348,Communication Essentials for Professionals True/False Question 4: Statement about the course.,True/False,FALSE,1
349,Communication Essentials for Professionals True/False Question 5: Statement about the course.,True/False,TRUE,1
350,Communication Essentials for Professionals MCQ Question 1: Choose the correct option.,MCQ,A,3
351,Communication Essentials for Professionals MCQ Question 2: Choose the correct option.,MCQ,A,3
352,Communication Essentials for Professionals MCQ Question 3: Choose the correct option.,MCQ,A,3
353,Communication Essentials for Professionals MCQ Question 4: Choose the correct option.,MCQ,A,3
354,Communication Essentials for Professionals MCQ Question 5: Choose the correct option.,MCQ,A,3
355,Introduction to Embedded Systems True/False Question 1: Statement about the course.,True/False,TRUE,1
356,Introduction to Embedded Systems True/False Question 2: Statement about the course.,True/False,FALSE,1
357,Introduction to Embedded Systems True/False Question 3: Statement about the course.,True/False,TRUE,1
358,Introduction to Embedded Systems True/False Question 4: Statement about the course.,True/False,FALSE,1
359,Introduction to Embedded Systems True/False Question 5: Statement about the course.,True/False,TRUE,1
360,Introduction to Embedded Systems MCQ Question 1: Choose the correct option.,MCQ,A,3
361,Introduction to Embedded Systems MCQ Question 2: Choose the correct option.,MCQ,A,3
362,Introduction to Embedded Systems MCQ Question 3: Choose the correct option.,MCQ,A,3
363,Introduction to Embedded Systems MCQ Question 4: Choose the correct option.,MCQ,A,3
364,Introduction to Embedded Systems MCQ Question 5: Choose the correct option.,MCQ,A,3
365,Introduction to Robotics True/False Question 1: Statement about the course.,True/False,TRUE,1
366,Introduction to Robotics True/False Question 2: Statement about the course.,True/False,FALSE,1
367,Introduction to Robotics True/False Question 3: Statement about the course.,True/False,TRUE,1
368,Introduction to Robotics True/False Question 4: Statement about the course.,True/False,FALSE,1
369,Introduction to Robotics True/False Question 5: Statement about the course.,True/False,TRUE,1
370,Introduction to Robotics MCQ Question 1: Choose the correct option.,MCQ,A,3
371,Introduction to Robotics MCQ Question 2: Choose the correct option.,MCQ,A,3
372,Introduction to Robotics MCQ Question 3: Choose the correct option.,MCQ,A,3
373,Introduction to Robotics MCQ Question 4: Choose the correct option.,MCQ,A,3
374,Introduction to Robotics MCQ Question 5: Choose the correct option.,MCQ,A,3
375,Embedded Computer Architecture True/False Question 1: Statement about the course.,True/False,TRUE,1
376,Embedded Computer Architecture True/False Question 2: Statement about the course.,True/False,FALSE,1
377,Embedded Computer Architecture True/False Question 3: Statement about the course.,True/False,TRUE,1
378,Embedded Computer Architecture True/False Question 4: Statement about the course.,True/False,FALSE,1
379,Embedded Computer Architecture True/False Question 5: Statement about the course.,True/False,TRUE,1
380,Embedded Computer Architecture MCQ Question 1: Choose the correct option.,MCQ,A,3
381,Embedded Computer Architecture MCQ Question 2: Choose the correct option.,MCQ,A,3
382,Embedded Computer Architecture MCQ Question 3: Choose the correct option.,MCQ,A,3
383,Embedded Computer Architecture MCQ Question 4: Choose the correct option.,MCQ,A,3
384,Embedded Computer Architecture MCQ Question 5: Choose the correct option.,MCQ,A,3
385,Embedded System Development Tools True/False Question 1: Statement about the course.,True/False,TRUE,1
386,Embedded System Development Tools True/False Question 2: Statement about the course.,True/False,FALSE,1
387,Embedded System Development Tools True/False Question 3: Statement about the course.,True/False,TRUE,1
388,Embedded System Development Tools True/False Question 4: Statement about the course.,True/False,FALSE,1
389,Embedded System Development Tools True/False Question 5: Statement about the course.,True/False,TRUE,1
390,Embedded System Development Tools MCQ Question 1: Choose the correct option.,MCQ,A,3
391,Embedded System Development Tools MCQ Question 2: Choose the correct option.,MCQ,A,3
392,Embedded System Development Tools MCQ Question 3: Choose the correct option.,MCQ,A,3
393,Embedded System Development Tools MCQ Question 4: Choose the correct option.,MCQ,A,3
394,Embedded System Development Tools MCQ Question 5: Choose the correct option.,MCQ,A,3
395,IC Design Introduction True/False Question 1: Statement about the course.,True/False,TRUE,1
396,IC Design Introduction True/False Question 2: Statement about the course.,True/False,FALSE,1
397,IC Design Introduction True/False Question 3: Statement about the course.,True/False,TRUE,1
398,IC Design Introduction True/False Question 4: Statement about the course.,True/False,FALSE,1
399,IC Design Introduction True/False Question 5: Statement about the course.,True/False,TRUE,1
400,IC Design Introduction MCQ Question 1: Choose the correct option.,MCQ,A,3
401,IC Design Introduction MCQ Question 2: Choose the correct option.,MCQ,A,3
402,IC Design Introduction MCQ Question 3: Choose the correct option.,MCQ,A,3
403,IC Design Introduction MCQ Question 4: Choose the correct option.,MCQ,A,3
404,IC Design Introduction MCQ Question 5: Choose the correct option.,MCQ,A,3
405,Computer Architecture True/False Question 1: Statement about the course.,True/False,TRUE,1
406,Computer Architecture True/False Question 2: Statement about the course.,True/False,FALSE,1
407,Computer Architecture True/False Question 3: Statement about the course.,True/False,TRUE,1
408,Computer Architecture True/False Question 4: Statement about the course.,True/False,FALSE,1
409,Computer Architecture True/False Question 5: Statement about the course.,True/False,TRUE,1
410,Computer Architecture MCQ Question 1: Choose the correct option.,MCQ,A,3
411,Computer Architecture MCQ Question 2: Choose the correct option.,MCQ,A,3
412,Computer Architecture MCQ Question 3: Choose the correct option.,MCQ,A,3
413,Computer Architecture MCQ Question 4: Choose the correct option.,MCQ,A,3
414,Computer Architecture MCQ Question 5: Choose the correct option.,MCQ,A,3
415,Hardware Description Language True/False Question 1: Statement about the course.,True/False,TRUE,1
416,Hardware Description Language True/False Question 2: Statement about the course.,True/False,FALSE,1
417,Hardware Description Language True/False Question 3: Statement about the course.,True/False,TRUE,1
418,Hardware Description Language True/False Question 4: Statement about the course.,True/False,FALSE,1
419,Hardware Description Language True/False Question 5: Statement about the course.,True/False,TRUE,1
420,Hardware Description Language MCQ Question 1: Choose the correct option.,MCQ,A,3
421,Hardware Description Language MCQ Question 2: Choose the correct option.,MCQ,A,3
422,Hardware Description Language MCQ Question 3: Choose the correct option.,MCQ,A,3
423,Hardware Description Language MCQ Question 4: Choose the correct option.,MCQ,A,3
424,Hardware Description Language MCQ Question 5: Choose the correct option.,MCQ,A,3
425,Data Structure and Algorithm True/False Question 1: Statement about the course.,True/False,TRUE,1
426,Data Structure and Algorithm True/False Question 2: Statement about the course.,True/False,FALSE,1
427,Data Structure and Algorithm True/False Question 3: Statement about the course.,True/False,TRUE,1
428,Data Structure and Algorithm True/False Question 4: Statement about the course.,True/False,FALSE,1
429,Data Structure and Algorithm True/False Question 5: Statement about the course.,True/False,TRUE,1
430,Data Structure and Algorithm MCQ Question 1: Choose the correct option.,MCQ,A,3
431,Data Structure and Algorithm MCQ Question 2: Choose the correct option.,MCQ,A,3
432,Data Structure and Algorithm MCQ Question 3: Choose the correct option.,MCQ,A,3
433,Data Structure and Algorithm MCQ Question 4: Choose the correct option.,MCQ,A,3
434,Data Structure and Algorithm MCQ Question 5: Choose the correct option.,MCQ,A,3
435,Progressive Teamwork True/False Question 1: Statement about the course.,True/False,TRUE,1
436,Progressive Teamwork True/False Question 2: Statement about the course.,True/False,FALSE,1
437,Progressive Teamwork True/False Question 3: Statement about the course.,True/False,TRUE,1
438,Progressive Teamwork True/False Question 4: Statement about the course.,True/False,FALSE,1
439,Progressive Teamwork True/False Question 5: Statement about the course.,True/False,TRUE,1
440,Progressive Teamwork MCQ Question 1: Choose the correct option.,MCQ,A,3
441,Progressive Teamwork MCQ Question 2: Choose the correct option.,MCQ,A,3
442,Progressive Teamwork MCQ Question 3: Choose the correct option.,MCQ,A,3
443,Progressive Teamwork MCQ Question 4: Choose the correct option.,MCQ,A,3
444,Progressive Teamwork MCQ Question 5: Choose the correct option.,MCQ,A,3
445,Robotics and Computer Vision True/False Question 1: Statement about the course.,True/False,TRUE,1
446,Robotics and Computer Vision True/False Question 2: Statement about the course.,True/False,FALSE,1
447,Robotics and Computer Vision True/False Question 3: Statement about the course.,True/False,TRUE,1
448,Robotics and Computer Vision True/False Question 4: Statement about the course.,True/False,FALSE,1
449,Robotics and Computer Vision True/False Question 5: Statement about the course.,True/False,TRUE,1
450,Robotics and Computer Vision MCQ Question 1: Choose the correct option.,MCQ,A,3
451,Robotics and Computer Vision MCQ Question 2: Choose the correct option.,MCQ,A,3
452,Robotics and Computer Vision MCQ Question 3: Choose the correct option.,MCQ,A,3
453,Robotics and Computer Vision MCQ Question 4: Choose the correct option.,MCQ,A,3
454,Robotics and Computer Vision MCQ Question 5: Choose the correct option.,MCQ,A,3
455,Electrical Power Engineering Principles for Automation True/False Question 1: Statement about the course.,True/False,TRUE,1
456,Electrical Power Engineering Principles for Automation True/False Question 2: Statement about the course.,True/False,FALSE,1
457,Electrical Power Engineering Principles for Automation True/False Question 3: Statement about the course.,True/False,TRUE,1
458,Electrical Power Engineering Principles for Automation True/False Question 4: Statement about the course.,True/False,FALSE,1
459,Electrical Power Engineering Principles for Automation True/False Question 5: Statement about the course.,True/False,TRUE,1
460,Electrical Power Engineering Principles for Automation MCQ Question 1: Choose the correct option.,MCQ,A,3
461,Electrical Power Engineering Principles for Automation MCQ Question 2: Choose the correct option.,MCQ,A,3
462,Electrical Power Engineering Principles for Automation MCQ Question 3: Choose the correct option.,MCQ,A,3
463,Electrical Power Engineering Principles for Automation MCQ Question 4: Choose the correct option.,MCQ,A,3
464,Electrical Power Engineering Principles for Automation MCQ Question 5: Choose the correct option.,MCQ,A,3
465,Data Structures and Algorithms True/False Question 1: Statement about the course.,True/False,TRUE,1
466,Data Structures and Algorithms True/False Question 2: Statement about the course.,True/False,FALSE,1
467,Data Structures and Algorithms True/False Question 3: Statement about the course.,True/False,TRUE,1
468,Data Structures and Algorithms True/False Question 4: Statement about the course.,True/False,FALSE,1
469,Data Structures and Algorithms True/False Question 5: Statement about the course.,True/False,TRUE,1
470,Data Structures and Algorithms MCQ Question 1: Choose the correct option.,MCQ,A,3
471,Data Structures and Algorithms MCQ Question 2: Choose the correct option.,MCQ,A,3
472,Data Structures and Algorithms MCQ Question 3: Choose the correct option.,MCQ,A,3
473,Data Structures and Algorithms MCQ Question 4: Choose the correct option.,MCQ,A,3
474,Data Structures and Algorithms MCQ Question 5: Choose the correct option.,MCQ,A,3
475,Linux Operating systems True/False Question 1: Statement about the course.,True/False,TRUE,1
476,Linux Operating systems True/False Question 2: Statement about the course.,True/False,FALSE,1
477,Linux Operating systems True/False Question 3: Statement about the course.,True/False,TRUE,1
478,Linux Operating systems True/False Question 4: Statement about the course.,True/False,FALSE,1
479,Linux Operating systems True/False Question 5: Statement about the course.,True/False,TRUE,1
480,Linux Operating systems MCQ Question 1: Choose the correct option.,MCQ,A,3
481,Linux Operating systems MCQ Question 2: Choose the correct option.,MCQ,A,3
482,Linux Operating systems MCQ Question 3: Choose the correct option.,MCQ,A,3
483,Linux Operating systems MCQ Question 4: Choose the correct option.,MCQ,A,3
484,Linux Operating systems MCQ Question 5: Choose the correct option.,MCQ,A,3
485,Advanced Wireless Communication True/False Question 1: Statement about the course.,True/False,TRUE,1
486,Advanced Wireless Communication True/False Question 2: Statement about the course.,True/False,FALSE,1
487,Advanced Wireless Communication True/False Question 3: Statement about the course.,True/False,TRUE,1
488,Advanced Wireless Communication True/False Question 4: Statement about the course.,True/False,FALSE,1
489,Advanced Wireless Communication True/False Question 5: Statement about the course.,True/False,TRUE,1
490,Advanced Wireless Communication MCQ Question 1: Choose the correct option.,MCQ,A,3
491,Advanced Wireless Communication MCQ Question 2: Choose the correct option.,MCQ,A,3
492,Advanced Wireless Communication MCQ Question 3: Choose the correct option.,MCQ,A,3
493,Advanced Wireless Communication MCQ Question 4: Choose the correct option.,MCQ,A,3
494,Advanced Wireless Communication MCQ Question 5: Choose the correct option.,MCQ,A,3
495,Introduction to Games True/False Question 1: Statement about the course.,True/False,TRUE,1
496,Introduction to Games True/False Question 2: Statement about the course.,True/False,FALSE,1
497,Introduction to Games True/False Question 3: Statement about the course.,True/False,TRUE,1
498,Introduction to Games True/False Question 4: Statement about the course.,True/False,FALSE,1
499,Introduction to Games True/False Question 5: Statement about the course.,True/False,TRUE,1
500,Introduction to Games MCQ Question 1: Choose the correct option.,MCQ,A,3
501,Introduction to Games MCQ Question 2: Choose the correct option.,MCQ,A,3
502,Introduction to Games MCQ Question 3: Choose the correct option.,MCQ,A,3
503,Introduction to Games MCQ Question 4: Choose the correct option.,MCQ,A,3
504,Introduction to Games MCQ Question 5: Choose the correct option.,MCQ,A,3
505,Game Design True/False Question 1: Statement about the course.,True/False,TRUE,1
506,Game Design True/False Question 2: Statement about the course.,True/False,FALSE,1
507,Game Design True/False Question 3: Statement about the course.,True/False,TRUE,1
508,Game Design True/False Question 4: Statement about the course.,True/False,FALSE,1
509,Game Design True/False Question 5: Statement about the course.,True/False,TRUE,1
510,Game Design MCQ Question 1: Choose the correct option.,MCQ,A,3
511,Game Design MCQ Question 2: Choose the correct option.,MCQ,A,3
512,Game Design MCQ Question 3: Choose the correct option.,MCQ,A,3
513,Game Design MCQ Question 4: Choose the correct option.,MCQ,A,3
514,Game Design MCQ Question 5: Choose the correct option.,MCQ,A,3
515,Game Production and Project Management True/False Question 1: Statement about the course.,True/False,TRUE,1
516,Game Production and Project Management True/False Question 2: Statement about the course.,True/False,FALSE,1
517,Game Production and Project Management True/False Question 3: Statement about the course.,True/False,TRUE,1
518,Game Production and Project Management True/False Question 4: Statement about the course.,True/False,FALSE,1
519,Game Production and Project Management True/False Question 5: Statement about the course.,True/False,TRUE,1
520,Game Production and Project Management MCQ Question 1: Choose the correct option.,MCQ,A,3
521,Game Production and Project Management MCQ Question 2: Choose the correct option.,MCQ,A,3
522,Game Production and Project Management MCQ Question 3: Choose the correct option.,MCQ,A,3
523,Game Production and Project Management MCQ Question 4: Choose the correct option.,MCQ,A,3
524,Game Production and Project Management MCQ Question 5: Choose the correct option.,MCQ,A,3
525,Script Writing for VFX True/False Question 1: Statement about the course.,True/False,TRUE,1
526,Script Writing for VFX True/False Question 2: Statement about the course.,True/False,FALSE,1
527,Script Writing for VFX True/False Question 3: Statement about the course.,True/False,TRUE,1
528,Script Writing for VFX True/False Question 4: Statement about the course.,True/False,FALSE,1
529,Script Writing for VFX True/False Question 5: Statement about the course.,True/False,TRUE,1
530,Script Writing for VFX MCQ Question 1: Choose the correct option.,MCQ,A,3
531,Script Writing for VFX MCQ Question 2: Choose the correct option.,MCQ,A,3
532,Script Writing for VFX MCQ Question 3: Choose the correct option.,MCQ,A,3
533,Script Writing for VFX MCQ Question 4: Choose the correct option.,MCQ,A,3
534,Script Writing for VFX MCQ Question 5: Choose the correct option.,MCQ,A,3
535,Digital Matte Painting True/False Question 1: Statement about the course.,True/False,TRUE,1
536,Digital Matte Painting True/False Question 2: Statement about the course.,True/False,FALSE,1
537,Digital Matte Painting True/False Question 3: Statement about the course.,True/False,TRUE,1
538,Digital Matte Painting True/False Question 4: Statement about the course.,True/False,FALSE,1
539,Digital Matte Painting True/False Question 5: Statement about the course.,True/False,TRUE,1
540,Digital Matte Painting MCQ Question 1: Choose the correct option.,MCQ,A,3
541,Digital Matte Painting MCQ Question 2: Choose the correct option.,MCQ,A,3
542,Digital Matte Painting MCQ Question 3: Choose the correct option.,MCQ,A,3
543,Digital Matte Painting MCQ Question 4: Choose the correct option.,MCQ,A,3
544,Digital Matte Painting MCQ Question 5: Choose the correct option.,MCQ,A,3
545,Cinematic production Fundamentals True/False Question 1: Statement about the course.,True/False,TRUE,1
546,Cinematic production Fundamentals True/False Question 2: Statement about the course.,True/False,FALSE,1
547,Cinematic production Fundamentals True/False Question 3: Statement about the course.,True/False,TRUE,1
548,Cinematic production Fundamentals True/False Question 4: Statement about the course.,True/False,FALSE,1
549,Cinematic production Fundamentals True/False Question 5: Statement about the course.,True/False,TRUE,1
550,Cinematic production Fundamentals MCQ Question 1: Choose the correct option.,MCQ,A,3
551,Cinematic production Fundamentals MCQ Question 2: Choose the correct option.,MCQ,A,3
552,Cinematic production Fundamentals MCQ Question 3: Choose the correct option.,MCQ,A,3
553,Cinematic production Fundamentals MCQ Question 4: Choose the correct option.,MCQ,A,3
554,Cinematic production Fundamentals MCQ Question 5: Choose the correct option.,MCQ,A,3
555,FX Destruction essentials True/False Question 1: Statement about the course.,True/False,TRUE,1
556,FX Destruction essentials True/False Question 2: Statement about the course.,True/False,FALSE,1
557,FX Destruction essentials True/False Question 3: Statement about the course.,True/False,TRUE,1
558,FX Destruction essentials True/False Question 4: Statement about the course.,True/False,FALSE,1
559,FX Destruction essentials True/False Question 5: Statement about the course.,True/False,TRUE,1
560,FX Destruction essentials MCQ Question 1: Choose the correct option.,MCQ,A,3
561,FX Destruction essentials MCQ Question 2: Choose the correct option.,MCQ,A,3
562,FX Destruction essentials MCQ Question 3: Choose the correct option.,MCQ,A,3
563,FX Destruction essentials MCQ Question 4: Choose the correct option.,MCQ,A,3
564,FX Destruction essentials MCQ Question 5: Choose the correct option.,MCQ,A,3
565,Introduction to Maya True/False Question 1: Statement about the course.,True/False,TRUE,1
566,Introduction to Maya True/False Question 2: Statement about the course.,True/False,FALSE,1
567,Introduction to Maya True/False Question 3: Statement about the course.,True/False,TRUE,1
568,Introduction to Maya True/False Question 4: Statement about the course.,True/False,FALSE,1
569,Introduction to Maya True/False Question 5: Statement about the course.,True/False,TRUE,1
570,Introduction to Maya MCQ Question 1: Choose the correct option.,MCQ,A,3
571,Introduction to Maya MCQ Question 2: Choose the correct option.,MCQ,A,3
572,Introduction to Maya MCQ Question 3: Choose the correct option.,MCQ,A,3
573,Introduction to Maya MCQ Question 4: Choose the correct option.,MCQ,A,3
574,Introduction to Maya MCQ Question 5: Choose the correct option.,MCQ,A,3
575,Characters Grooming True/False Question 1: Statement about the course.,True/False,TRUE,1
576,Characters Grooming True/False Question 2: Statement about the course.,True/False,FALSE,1
577,Characters Grooming True/False Question 3: Statement about the course.,True/False,TRUE,1
578,Characters Grooming True/False Question 4: Statement about the course.,True/False,FALSE,1
579,Characters Grooming True/False Question 5: Statement about the course.,True/False,TRUE,1
580,Characters Grooming MCQ Question 1: Choose the correct option.,MCQ,A,3
581,Characters Grooming MCQ Question 2: Choose the correct option.,MCQ,A,3
582,Characters Grooming MCQ Question 3: Choose the correct option.,MCQ,A,3
583,Characters Grooming MCQ Question 4: Choose the correct option.,MCQ,A,3
584,Characters Grooming MCQ Question 5: Choose the correct option.,MCQ,A,3
585,Game Art Foundation True/False Question 1: Statement about the course.,True/False,TRUE,1
586,Game Art Foundation True/False Question 2: Statement about the course.,True/False,FALSE,1
587,Game Art Foundation True/False Question 3: Statement about the course.,True/False,TRUE,1
588,Game Art Foundation True/False Question 4: Statement about the course.,True/False,FALSE,1
589,Game Art Foundation True/False Question 5: Statement about the course.,True/False,TRUE,1
590,Game Art Foundation MCQ Question 1: Choose the correct option.,MCQ,A,3
591,Game Art Foundation MCQ Question 2: Choose the correct option.,MCQ,A,3
592,Game Art Foundation MCQ Question 3: Choose the correct option.,MCQ,A,3
593,Game Art Foundation MCQ Question 4: Choose the correct option.,MCQ,A,3
594,Game Art Foundation MCQ Question 5: Choose the correct option.,MCQ,A,3
595,3D Modeling For Games True/False Question 1: Statement about the course.,True/False,TRUE,1
596,3D Modeling For Games True/False Question 2: Statement about the course.,True/False,FALSE,1
597,3D Modeling For Games True/False Question 3: Statement about the course.,True/False,TRUE,1
598,3D Modeling For Games True/False Question 4: Statement about the course.,True/False,FALSE,1
599,3D Modeling For Games True/False Question 5: Statement about the course.,True/False,TRUE,1
600,3D Modeling For Games MCQ Question 1: Choose the correct option.,MCQ,A,3
601,3D Modeling For Games MCQ Question 2: Choose the correct option.,MCQ,A,3
602,3D Modeling For Games MCQ Question 3: Choose the correct option.,MCQ,A,3
603,3D Modeling For Games MCQ Question 4: Choose the correct option.,MCQ,A,3
604,3D Modeling For Games MCQ Question 5: Choose the correct option.,MCQ,A,3
605,Digital Painting True/False Question 1: Statement about the course.,True/False,TRUE,1
606,Digital Painting True/False Question 2: Statement about the course.,True/False,FALSE,1
607,Digital Painting True/False Question 3: Statement about the course.,True/False,TRUE,1
608,Digital Painting True/False Question 4: Statement about the course.,True/False,FALSE,1
